National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Hungary	100-Holding Account	ALTEK-Tégla és Cserépipari Kft. 	11	16-09-005019	open	Account holder	ALTEK-Tégla és Cserépipari Kft.	Földvári út	6	5400	Mezõtúr	Hungary	11	Kunszentmártoni téglagyár	HU-UHG0341-8A-04	2005-01-01				3.(g)	Szentesi utca	39	5440	Kunszentmárton	HU	46.834157069	20.294118037	20-Combustion of fuels	András Balogh	Szentesi utca	39	5440	Kunszentmárton	HU	11336	2671	11336	5058	11336	5912	5617	3319	5617	434	5617	470	5617	478	5617	1403	0	Not Reported	0	Not Reported	0	Not Reported	0		0		0		0		0		
Hungary	100-Holding Account	Bakonyi Bioenergia Kft. 	12	19-09-507082	open	Account holder	Bakonyi Bioenergia Kft.	Gyártelep Hrsz	1961/1	8400	Ajka	Hungary	12	Bakonyi Bioenergia Kft, 11-12. sz. kazán	HU-UHG5322-1-04	2005-01-01				1.(c)	Gyártelep Hrsz	1961/1	8401	Ajka	HU	47.095622139	17.558438904	20-Combustion of fuels	László Kanczler	Gyártelep	-	8401	Ajka	HU	352814	21904	352814	13017	352814	14230	16558	3535	16558	4450	16585	642	16585	911	16585	530	0	487	0	528	0	494	0		0		0		0		0		
Hungary	100-Holding Account	Bakonyi Erõmû Zrt. 	13	19-10-500026	open	Account holder	Bakonyi Erõmû Zrt.	Gyártelep Hrsz	1961/1	8400	Ajka	Hungary	13	Bakonyi Eromu Rt. Ajkai Hoeromu	HU-UHG5317-1-04	2005-01-01				1.(c)	Gyártelep Hrsz	1961/1	8401	Ajka	HU	47.095622139	17.558438904	20-Combustion of fuels	László Kanczler	Gyártelep	-	8401	Ajka	HU	419977	530793	419977	468218	419977	431666	302996	439609	302996	212810	303488	253387	303488	287042	303488	304605	35555146085****	202998	29180	115558	23512	72258	18533		14212		11402		9379		7429		
Hungary	100-Holding Account	Baranya-Tégla Ipari és Kereskedelmi Kft. 	14	02-09-062387	closed	Account holder	Baranya-Tégla Ipari és Kereskedelmi Kft.	Budai Nagy Antal utca	1	7624	Pécs	Hungary	14	Alsómocsoládi Téglagyár	HU-UHG5474-8A-04	2005-01-01	2014-07-07			3.(g)	Külterület Hrsz	33	7345	Alsómocsolád	HU	46.324907725	18.222640274	32-Manufacture of ceramics	Tamás Kistüttosi	Külterület Hrsz	33	7345	Alsómocsolád	HU	10113	4734	10113	4888	10113	6214	7795	6813	7795	81	7795	150	7795	90	7795	63	0	11	0	8	0		0		0		0		0		0		
Hungary	100-Holding Account	BC-Erõmû Kft. 	15	05-09-007481	open	Account holder	BC-Erõmû Kft.	Bólyai tér	1	3700	Kazincbarcika	Hungary	15	BC-Eromu Kft.	HU-UHG5142-1-04	2005-01-01				1.(c)	Bólyai tér	1	3700	Kazincbarcika	HU	48.242260051	20.666196303	20-Combustion of fuels	Zoltán Rigerszki	Bolyai tér	1	3700	Kazincbarcika	HU	218501	220875	218501	223348	218501	225133	219174	216171	219174	191598	219174	247887	219174	265835	219174	285335	0	270762	0	257714	0	252402	0		0		0		0		0		
Hungary	100-Holding Account	BÉM Borsodi Érc, Ásvány és Nyersanyag Feldolgozó Mû Zrt. 	16	05-10-000352	closed	Account holder	BÉM Borsodi Érc, Ásvány és Nyersanyag Feldolgozó Mû Zrt.	Ipartelep	-	3791	Sajókeresztúr	Hungary	16	BÉM Borsodi Érc,Ásvány és Nyersanyag Feldolgozó Mû	HU-UHG5756-4-04	2007-11-16	2014-06-10				Ipartelep Hrsz	03/2	3791	Sajókeresztúr	HU	48.162660978	20.771260899	4-Metal ore (including sulphide ore) roasting or sintering installations	Katalin Almási	Ipartelep	-	3791	Sajókeresztúr	HU	80842	54038	80842	53035	80842	32178	49450	14249	49450	24938	49450	21454	49450	20785	49450	20934	13424	1748	0		0		0		0		0		0		0		
Hungary	100-Holding Account	Berényi Téglaipari Kft. 	17	04-09-002541	open	Account holder	Berényi Téglaipari Kft.	Gyár utca	1	5650	Mezõberény	Hungary	17	Berényi téglagyár	HU-UHG5211-8A-04	2005-01-01				3.(g)	Gyár utca	1	5650	Mezõberény	HU	46.825501798	21.009161188	32-Manufacture of ceramics	András Balogh	Gyár utca	1	5650	Mezõberény	HU	10244	6069	10244	5780	10244	7488	8666	7496	8666	6526	8666	6519	8666	4575	8666	6001	5396	3678	3767	3268	3701	4747	3632		3563		3494		3424		3353		
Hungary	100-Holding Account	BorsodChem Zrt. 	18	05-10-000054	open	Account holder	BorsodChem Zrt.	Bólyai tér	1	3700	Kazincbarcika	Hungary	18	Borsodchem Rt. VCM Üzem DKE Bontókemencék	HU-UHG5141-1-04	2005-01-01				1.(c)	Bólyai tér	1	3700	Kazincbarcika	HU	48.251361619	20.666222552	42-Production of bulk chemicals	Bálint Lajos	Bólyai tér	1	3702	Kazincbarcika	HU	70697	53483	70697	61309	70697	74124	62765	69756	62791	52445	68510	55418	60837	60697	60837	56110	250175231001*****	131100	245699226981*****	154682	241176222962*****	148627	236613218942*****		232007214923*****		227361210903*****		222664206885*****		217957202864*****		
Hungary	100-Holding Account	Borsodi Sörgyár Kft. 	19	05-09-019849	open	Account holder	Borsodi Sörgyár Kft.	Rákóczi Ferenc utca	81	3574	Bõcs	Hungary	19	Borsodi Sörgyár Rt. Gyártelep	HU-UHG5230-1-04	2005-01-01					Rákóczi Ferenc utca	81	3574	Bõcs	HU	48.042626262	20.960867223	20-Combustion of fuels	Laura Szadainé Kókai	Rákóczi Ferenc utca	81	3574	Bõcs	HU	17319	14858	17319	18499	17319	20233	21505	20504	14744	17241	20594	13148	14744	9369	14744	7654	8981	6233	8036	5745	7118	5526	6228		5365		4531		3722		2945		
Hungary	100-Holding Account	BTG Budaörsi Településgazdálkodási Kft. 	20	13-09-064364	closed	Account holder	BTG Budaörsi Településgazdálkodási Kft.	Dózsa György utca	21	2040	Budaörs	Hungary	20	Futomu	HU-UHG0288-1-04	2005-01-01	2014-12-09				Lévai utca	37	2040	Budaörs	HU	47.460037837	18.9456935	20-Combustion of fuels	Béla dr. Sal	Lévai utca	37	2040	Budaörs	HU	8648	7288	8648	6561	8648	5972	6712	5621	6712	5807	6712	5880	6712	5837	6712	6090	4748	5868	4249	5113	0		0		0		0		0		0		
