National Administrator	Account Type	Account Holder Name	Installation ID	Company Registration No	Account Status	Type	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Installation ID	Installation Name	Permit ID	Permit Entry Date	Permit Expiry/Revocation Date	Subsidiary Company	Parent Company	E-PRTR identification	Main Address Line	Secondary Address Line	Postal Code	City	Country	Latitude	Longitude	Main Activity	Name	Main Address Line	Secondary Address Line	Postal Code	City	Country	Allowance_Allocation_2005	Verified_Emission_2005	Allowance_Allocation_2006	Verified_Emission_2006	Allowance_Allocation_2007	Verified_Emission_2007	Allowance_Allocation_2008	Verified_Emission_2008	Allowance_Allocation_2009	Verified_Emission_2009	Allowance_Allocation_2010	Verified_Emission_2010	Allowance_Allocation_2011	Verified_Emission_2011	Allowance_Allocation_2012	Verified_Emission_2012	Allowance_Allocation_2013	Verified_Emission_2013	Allowance_Allocation_2014	Verified_Emission_2014	Allowance_Allocation_2015	Verified_Emission_2015	Allowance_Allocation_2016	Verified_Emission_2016	Allowance_Allocation_2017	Verified_Emission_2017	Allowance_Allocation_2018	Verified_Emission_2018	Allowance_Allocation_2019	Verified_Emission_2019	Allowance_Allocation_2020	Verified_Emission_2020	
Hungary	100-Holding Account	Budapesti Távhoszolgáltató ZRt. 	31	01-10-042582	open	Account holder	Budapesti Távhoszolgáltató ZRt.	Kalotaszeg utca	31	1116	Budapest	Hungary	31	Füredi úti Futomu	HU-UHG5168-1-04	2005-01-01				1.(c)	Füredi utca	53-63	1144	Budapest	HU	47.512738961	19.150232938	20-Combustion of fuels	Tibor Orbán	Füredi utca	53-63	1144	Budapest	HU	59838	46308	59838	34529	59838	28947	42651	28646	42651	29339	42651	31016	42651	27603	42651	25875	24422	30845	21856	21365	19359	21348	16938		14592		12320		10124		8009		
Hungary	100-Holding Account	Bunge ZRt. 	32	01-10-041976	closed	Account holder	Bunge ZRt.	Váci út	33	1134	Budapest	Hungary	32	Martfui Növényolajgyár kazánjai	HU-UHG5466-1-04	2005-01-01	2013-11-21			8.(b).II	Szolnoki út	201	5435	Martfû	HU	47.0401322	20.291655924	1-Combustion installations with a rated thermal input exceeding 20 MW	Lászlóné Molnár	Szolnoki út	201	5435	Martfû	HU	11509	1093	11509	1444	11509	1524	1085	1492	1085	1624	1085	1683	1085	1596	1085	1755	0	0	0		0		0		0		0		0		0		
Hungary	100-Holding Account	Green-R Zrt. 	33	01-10-045108	open	Account holder	Green-R Zrt.	Bocskai út	134-146	1113	Budapest	Hungary	33	Rákoskeresztúri Gázmotoros Futoeromu	HU-UHG0352-1-04	2005-01-01					Gyökér utca	45	1173	Budapest	HU	47.477633744	19.245957236	20-Combustion of fuels	László Dajbukát	Gyökér utca	45	1173	Budapest	HU	22288	7072	22288	26526	22288	26733	24431	26209	24431	24752	24431	27397	24431	20886	24431	19909	8684	21830	7771	18915	6885	18151	6026		5194		4390		3611		2860		
Hungary	100-Holding Account	Calmit Hungária Kft. 	34	01-09-910147	open	Account holder	Calmit Hungária Kft.	Noszlopy út	2	1103	Budapest	Hungary	34	Mészüzem	HU-UHG5330-6B-04	2005-01-01				3.(c).I	Rákóczi utca	60	2541	Lábatlan	HU	47.749112129	18.506002415	30-Production of lime, or calcination of dolomite/magnesite	Béla S. Kovács	Rákóczi utca	60	2541	Lábatlan	HU	147549	107060	147549	101049	147549	96786	128739	100409	128739	95627	128739	90926	128739	112854	128739	102480	93931	97667	92299	100701	90649	81434	88981		87295		85593		83869		82140		
Hungary	100-Holding Account	Carmeuse Hungária Kft. 	35	02-09-066932	open	Account holder	Carmeuse Hungária Kft.	Hrsz	064/1	7827	Beremend	Hungary	35	Beremendi Mészüzem	HU-UHG5155-6B-04	2005-01-01				3.(c).II	Hrsz	064/1	7827	Beremend	HU	45.806556272	18.403849093	30-Production of lime, or calcination of dolomite/magnesite	Istvanne Milicz	Hrsz	064/1	7827	Beremend	HU	151962	141815	151962	147841	151962	120022	154286	156336	154286	89734	154286	125096	154286	125371	154286	95544	137425	92503	135038	103737	132623	136849	130183		127717		125226		122705		120174		
Hungary	100-Holding Account	Alpiq Csepel Kft. 	36	01-09-701667	open	Account holder	Alpiq Csepel Kft.	Kálvin tér	12	1085	Budapest	Hungary	36	Alpiq Csepel II. Erőmű	HU-UHG5197-1-04	2005-01-01				1.(c)	Hõerõmû utca	3	1211	Budapest	HU	47.428196275	19.05184951	20-Combustion of fuels	Beáta Leveles	Hõerõmû utca	3	1211	Budapest	HU	810866	777952	810866	761485	810866	964968	469500	953297	469500	476924	759648	414922	759648	842118	759648	727908	54994490140****	492473	49214	269733	43598	293054	38160		32893		27797		22866		18111		
Hungary	100-Holding Account	Alpiq Csepeli Erõmû Kft. 	37	01-09-706086	open	Account holder	Alpiq Csepeli Erõmû Kft.	Színesfém utca	1-3	1211	Budapest	Hungary	37	PTVM kazánház	HU-UHG5312-1-04	2005-01-01				1.(c)	Színesfém utca	1-3	1211	Budapest	HU	47.423346656	19.066136938	20-Combustion of fuels	Géza Kámán	Színesfém utca	1-3	1211	Budapest	HU	5290	2641	5290	10713	5290	1306	2432	3665	2432	17629	2432	3697	2432	1335	2432	788	10324	324	0	846	0	714	0		0		0		0		0		
Hungary	100-Holding Account	Csornahõ Csornai Hõszolgáltató Kft. 	38	08-09-003144	closed	Account holder	Csornahõ Csornai Hõszolgáltató Kft.	Barbacsi út	1	9300	Csorna	Hungary	38	Csornaho Csornai Hoszolgáltató Kft.	HU-UHG5289-1-04	2005-01-01	2014-11-28				Barbacsi út	1	9300	Csorna	HU	47.618752342	17.265823307	20-Combustion of fuels	Péter Egyházy	Barbacsi út	1	9300	Csorna	HU	11950	7937	11950	7087	11950	6689	7310	5939	7310	7203	7310	6468	7310	3398	7310	3100	4676	3316	1847	2273	0		0		0		0		0		0		
Hungary	100-Holding Account	DAM 2004 Acél- és Hengermû Ker. és Szolg. Kft. 'f.a.' 	39	05-09-013076	closed	Account holder	DAM 2004 Acél- és Hengermû Ker. és Szolg. Kft. 'f.a.'	Kiss Ernõ utca	17	3532	Miskolc	Hungary	39	DAM 2004 Acél- és Hengermu Ker. és Szolg. Kft.	HU-UHG0595-5-04	2005-01-01	2009-07-20			2.(b)	Vasgyári út	43	3532	Miskolc	HU	48.097716898	20.73692343	24-Production of pig iron or steel	József Ágotai	Vasgyári út	43	3532	Miskolc	HU	139524	43081	139524	43612	139524	52046	39909	50748	39909	0	0	Not Reported	0		0	Not Reported		Not Reported		Not Reported													
Hungary	100-Holding Account	ISD POWER Energiatermelo és Szolgáltató Kft. 	40	07-09-004531	closed	Account holder	ISD POWER Energiatermelo és Szolgáltató Kft.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	40	ISD Power Kft. fióktelepe	HU-UHG5434-1-04	2005-01-01	2010-03-09			1.(c)	Vasgyári út	43	3532	Miskolc	HU	48.094848081	20.74247024	1-Combustion installations with a rated thermal input exceeding 20 MW	István Zsömbör	Vasgyári út	43	3532	Miskolc	HU	25097	16831	25097	18561	25097	17888	16701	16471	16701	3389	0	0	0		0																		
Hungary	100-Holding Account	Tiszántúli Hőtermelő Kft. 	41		open	Account holder	Tiszántúli Hőtermelő Kft.	Mikepércsi út 1.		4030	Debrecen	Hungary	41	Debreceni Telephely	HU-UHG5232-1-04	2005-01-01				1.(c)	Mikepércsi út	1	4030	Debrecen	HU	47.517335	21.629719	20-Combustion of fuels	Kerek						89731	78416	89731	81639	89731	53687	72223	48072	72223	66606	72223	54686	72223	65164	72223	77011	53372	87854	45872	89652	40637	96113	35569		30659		25909		21313		16881		
Hungary	100-Holding Account	DKCE Debreceni Kombinált Ciklusú Erőmű Kft. 	42	09-09-005697	closed	Account holder	DKCE Debreceni Kombinált Ciklusú Erőmű Kft.	Mikepércsi út	1	4030	Debrecen	Hungary	42	Debreceni Kombinált Ciklusú Eromu Kft.	HU-UHG5210-1-04	2005-01-01	2013-11-25			1.(c)	Mikepércsi út	1	4030	Debrecen	HU	47.518669	21.630448	1-Combustion installations with a rated thermal input exceeding 20 MW	Kálmán Kerek	Mikepércsi út	1	4030	Debrecen	HU	304261	302379	304261	232405	304261	260815	228771	214384	228771	153303	229143	171087	229143	140982	229143	102486	44194	44527	0		0		0		0		0		0		0		
Hungary	100-Holding Account	Dorogi Erõmû Kft. 	43	11-09-002481	open	Account holder	Dorogi Erõmû Kft.	Esztergomi út	17	2510	Dorog	Hungary	43	Dorogi Eromu Kft.	HU-UHG5147-1-04	2005-01-01				1.(c)	Esztergomi út	17	2510	Dorog	HU	47.723967694	18.726415218	20-Combustion of fuels	István Erdős	Esztergomi út	17	2510	Dorog	HU	88523	79708	88523	78995	88523	74753	79094	76645	79094	68926	79094	75509	79094	59900	79094	54704	37531	51581	34407	42880	31772	45267	29972		28219		26510		24843		23226		
Hungary	100-Holding Account	Dotenergo Energetikai és Épületgépészeti ZRt. 	44	03-10-100312	open	Account holder	Dotenergo Energetikai és Épületgépészeti ZRt.	Hegedûs Köz	28	6000	Kecskemét	Hungary	44	DEOEC Kazánház	HU-UHG5335-1-04	2005-01-01					Nagyerdei Krt	98	4032	Debrecen	HU	47.560840467	21.628053063	20-Combustion of fuels	Tibor Sarkady	Nagyerdei Krt.	98	4032	Debrecen	HU	10588	5797	10588	5990	10588	5374	5752	3793	5752	4211	5752	5377	5752	4423	5752	4459	3954	3884	3538	3583	3135	3481	2744		2365		1999		1644		1302		
Hungary	100-Holding Account	Dreher Sörgyárak ZRt. 	45	01-10-042040	open	Account holder	Dreher Sörgyárak ZRt.	Jászberényi út	7-11	1106	Budapest	Hungary	45	Dreher Sörgyárak Rt.- Erotelep	HU-UHG5143-1-04	2005-01-01				8.(b).II	Jászberényi út	7-11	1106	Budapest	HU	47.488690095	19.146470954	20-Combustion of fuels	Kinga Percsiné Bíró	Jászberényi út	7-11	1106	Budapest	HU	18721	13212	18721	13172	18721	13397	13110	11591	13110	9353	13110	9458	13110	9070	13110	8427	9787	7866	8760	7131	7759	7277	6788		5848		4938		4057		3209		
Hungary	100-Holding Account	Dunacell Dunaújvárosi Cellulózgyár Kft. 	46	07-09-002447	open	Account holder	Dunacell Dunaújvárosi Cellulózgyár Kft.	Papírgyári út	42-46	2400	Dunaújváros	Hungary	46	Dunacell Dunaújvárosi Papírgyár- lúgregen. kazán	HU-UHG5153-9-04	2005-01-01				6.(a)	Papírgyári út	42-46	2400	Dunaújváros	HU	46.928530922	18.941920207	36-Production of paper or cardboard	György Szloboda	Papírgyári út	42-46	2400	Dunaújváros	HU	22531	20088	22531	17300	22531	14674	20290	14027	20290	13183	20290	7863	20290	9512	20290	8943	36077	9073	35450	10358	34816	8596	34176		33528		32874		32213		31548		
Hungary	100-Holding Account	Duna-Dráva Cement Kft. 	47	13-09-060842	open	Account holder	Duna-Dráva Cement Kft.	Kõhídpart dûlõ	2	2600	Vác	Hungary	47	Duna-Dráva Cement Kft. Váci Cementgyár	HU-UHG5260-6A-04	2005-01-01				3.(c).I	Kõhídpart dûlõ	2	2600	Vác	HU	47.811337032	19.104601152	29-Production of cement clinker	Balázs Miskolci	Kõhídpart dûlõ	2	2600	Vác	HU	736156	624033	736156	640744	736156	661328	655826	658118	655826	511499	655826	412470	655826	439608	655826	325017	580958	323360	570867	374262	560658	454134	550342		539915		529387		518727		508030		
Hungary	100-Holding Account	Duna-Dráva Cement Kft. 	48	13-09-060842	open	Account holder	Duna-Dráva Cement Kft.	Kõhídpart dûlõ	2	2600	Vác	Hungary	48	Duna-Dráva Cement Kft. Beremendi Cementgyár	HU-UHG5381-6A-04	2005-01-01				3.(c).I	Külterület Hrsz	064/2	7827	Beremend	HU	45.810554685	18.40149936	29-Production of cement clinker	Zoltán Kovács	Külterület	-	7827	Beremend	HU	653634	546533	653634	613854	653634	673911	573726	574413	573726	448470	573726	267208	573726	246368	573726	273700	552847	286581	543244	286584	533529	292870	523712		513790		503771		493627		483448		
Hungary	100-Holding Account	ISD Kokszoló Kft. 	49	07-09-002492	open	Account holder	ISD Kokszoló Kft.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	49	DBK Kokszoló	HU-UHG5242-3-04	2005-01-01				1.(d)	Vasmu tér	1-3	2400	Dunaújváros	HU	46.94033844	18.937733143	22-Production of coke	László Katona	Vasmu tér	1-3	2400	Dunaújváros	HU	264233	184815	264233	299823	264233	284249	220519	222811	98707	121052	209202	150605	182514	191303	175278	177431	257999	190170	253518	250396	248984	198565	244403		239772		235097		230363		225613		
Hungary	100-Holding Account	ISD Dunaferr Zrt. 	50	07-10-001049	open	Account holder	ISD Dunaferr Zrt.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	50	Zsugorítómu	HU-UHG5401-4-04	2005-01-01				2.(b)	Vasmu tér	1-3	2400	Dunaújváros	HU	46.946050355	18.937300999	23-Metal ore roasting or sintering	Anna Kovács	Vasmu tér	1-3	2400	Dunaújváros	HU	253555	266737	253555	253614	253555	260206	244089	291320	244089	217558	244089	280836	244089	309184	244089	277232	179860	189758	176736	260499	173575	268508	170382		167153		163894		160594		157282		
Hungary	100-Holding Account	ISD Dunaferr Zrt. 	51	07-10-001049	open	Account holder	ISD Dunaferr Zrt.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	51	Meleghengermu	HU-UHG5406-1-04	2005-01-01				2.(b)	Vasmu tér	1-3	2400	Dunaújváros	HU	46.943336713	18.940524732	25-Production or processing of ferrous metals	Anna Kovács	Vasmu tér	1-3	2400	Dunaújváros	HU	109537	95449	109537	109217	109537	94748	87345	98146	87345	77894	87345	93544	87345	105567	87345	125486	170914	191795	167946	159231	164943	148868	161907		158840		155743		152606		149460		
Hungary	100-Holding Account	ISD Dunaferr Zrt. 	52	07-10-001049	open	Account holder	ISD Dunaferr Zrt.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	52	Nagyolvasztó és Konverteres Acélgyártómu	HU-UHG5408-5-04	2005-01-01				2.(b)	Vasmu tér	1-3	2400	Dunaújváros	HU	46.951025288	18.93756656	24-Production of pig iron or steel	Anna Kovács	Vasmu tér	1-3	2400	Dunaújváros	HU	1923276	1109508	1923276	1039658	1923276	1065174	1015303	1012730	1015303	878496	1015303	931288	1015303	926883	1015303	857480	1668500	473170	819760	573297	1610199	819663	1580572		1550626		1520389		1489775		1459054		
Hungary	100-Holding Account	ISD Dunaferr Zrt. 	53	07-10-001049	closed	Account holder	ISD Dunaferr Zrt.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	53	Lorinci Hengermu Kft.	HU-UHG5386-5-04	2005-01-01	2013-08-12			2.(c).I	Hengersor út	38	1184	Budapest	HU	47.444965372	19.157183022	5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting	Anna Kovács	Hengersor út	38	1184	Budapest	HU	40749	38961	40749	38562	40749	33745	38661	28716	38661	18628	38661	22236	38661	27924	38661	29069		0															
Hungary	100-Holding Account	Dunamenti Erõmû ZRt. 	54	13-10-040106	open	Account holder	Dunamenti Erõmû ZRt.	Erõmû utca	2	2440	Százhalombatta	Hungary	54	Dunamenti Eromu Rt.	HU-UHG5300-1-04	2005-01-01				1.(c)	Erõmû utca	2	2440	Százhalombatta	HU	47.328196716	18.918469304	20-Combustion of fuels	AKOS KISS	Erõmû utca	2	2440	Százhalombatta	HU	2643513	1949639	2643513	1746044	2643513	2142453	1715819	1649787	1715819	992126	1718612	1298761	1718612	727272	1718612	899884	143881204981****	408240	12813	87108	11351	244077	9935		8563		7237		5953		4715		
Hungary	100-Holding Account	HAMBURGER Hungária Kft. 	55	07-09-017523	closed	Account holder	HAMBURGER Hungária Kft.	Papírgyári út	42-46	2400	Dunaújváros	Hungary	55	Csomagolópapírgyár Csepel	HU-UHG5181-10-04	2005-01-01	2010-03-09			6.(b)	Duna utca	42	1215	Budapest	HU	47.431797271	19.085493506	9-Industrial plants for the production of (a) pulp from timber or other fibrous materials (b) paper and board	László Bodnár	Duna utca	42	1215	Budapest	HU	61192	57142	61192	58506	61192	58161	57716	54828	57716	19387	0	Not Reported	0		0																		
Hungary	100-Holding Account	Eastern Sugar Cukoripari  ZRt. 	56	09-10-000036	closed	Account holder	Eastern Sugar Cukoripari  ZRt.	Meteorit utca	5	4183	Kaba	Hungary	56	Tüzeloberend. (gozkazán,mészkemence,szeletszárító)	HU-UHG5298-1-04	2005-01-01					Meteorit utca	5	4183	Kaba	HU	47.35068108	21.250949988	1-Combustion installations with a rated thermal input exceeding 20 MW	Emilia Nyilasné Szabó	Meteorit utca	5	4183	Kaba	HU	111002	94852	111002	57199	111002	3008						Not Reported																					
Hungary	100-Holding Account	EGIS Gyógyszergyár Zrt. 	57	01-10-041762	open	Account holder	EGIS Gyógyszergyár Zrt.	Keresztúri út	30-38	1106	Budapest	Hungary	57	EGIS Gyógyszergyár Zrt., Központi Telep	HU-UHG5231-1-04	2005-01-01				4.(e)	Keresztúri út	30-38	1106	Budapest	HU	47.498323738	19.156403575	20-Combustion of fuels	Tünde Cseresznyák	Keresztúri út	30-38	1106	Budapest	HU	26423	25234	26423	24526	26423	23220	25040	22919	25040	18348	25040	13298	25040	14608	25040	13296	17721	12225	17413	10704	17102	11320	16787		16469		16148		15823		15497		
Hungary	100-Holding Account	EGIS Gyógyszergyár Zrt. 	58	01-10-041762	open	Account holder	EGIS Gyógyszergyár Zrt.	Keresztúri út	30-38	1106	Budapest	Hungary	58	EGIS Gyógyszergyár Zrt., Körmendi Gyáregység	HU-UHG5398-1-04	2005-01-01					Mátyás király út	65	9900	Körmend	HU	47.018991906	16.590474034	20-Combustion of fuels	Károly Zsolt Szekeres	Mátyás király út	65	9900	Körmend	HU	3754	4142	3754	4198	3754	3988	4110	4370	4110	4041	4110	4371	4110	4173	4110	4198	4041	4114	3970	3516	3899	3767	3828		3755		3682		3608		3533		
Hungary	100-Holding Account	EVAT ZRt. 	59	10-10-020014	open	Account holder	EVAT ZRt.	Zalár út	1-3	3300	Eger	Hungary	59	EVAT Rt. Futoeromu	HU-UHG5375-1-04	2005-01-01				1.(c)	Malomárok út	28	3300	Eger	HU	47.913727985	20.373333184	20-Combustion of fuels	Albert Zsebe	Malomárok út	28	3300	Eger	HU	15324	9713	15324	9417	15324	7324	8946	7375	8946	7202	8946	7300	8946	8720	8946	8631	6401	8073	5729	8090	5074	8097	4439		3824		3229		2653		2099		
Hungary	100-Holding Account	O-I Manufacturing Magyarország Üvegipari Kft. 	60	04-09-003284	open	Account holder	O-I Manufacturing Magyarország Üvegipari Kft.	Csorvási út	5	5900	Orosháza	Hungary	60	O-I Manufacturing Magyarország Kft.	HU-UHG5310-7-04	2005-01-01				3.(e)	Csorvási út	5	5900	Orosháza	HU	46.576709369	20.687514244	31-Manufacture of glass	Csaba Török	Csorvási út	5	5900	Orosháza	HU	67333	56114	67333	65937	67333	65606	66896	57372	66896	54636	66896	52365	66896	59041	66896	57490	41570	58915	40847	60257	40117	61068	39379		38632		37880		37117		36352		
Hungary	100-Holding Account	Egyesült Vegyimuvek Rt. 	61	01-10-042091	closed	Account holder	Egyesült Vegyimuvek Rt.	Cinkotai út	26	1172	Budapest	Hungary	61	Egyesült Vegyimuvek Rt.	HU-UHG5884-1-04	2005-01-01	2010-07-20			4.(a).II	Cinkotai út	26	1172	Budapest	HU	47.490533006	19.240259172	1-Combustion installations with a rated thermal input exceeding 20 MW	Péter Hermesz	Cinkotai út	26	1172	Budapest	HU	24327	21492	24327	3636	24327	1858	0	0	0	0	0		0		0																		
Hungary	100-Holding Account	Electrolux Lehel Kft. 	62	16-09-001602	open	Account holder	Electrolux Lehel Kft.	Fémnyomó utca	1	5100	Jászberény	Hungary	62	Electrolux Lehel Kft.	HU-UHG0656-1-04	2005-01-01					Fémnyomó utca	1	5100	Jászberény	HU	47.496467453	19.87565151	1-Combustion installations with a rated thermal input exceeding 20 MW	Tibor Marton	Szent László utca	20.sz 3/24.	5100	Jászberény	HU	14290	11831	14290	10328	14290	8682	11740	9044	11740	9162	11740	8806	11740	7785	11740	6617	8598	4344	8448	1719	8297	Not Reported	8145		7990		7834		7677		7518		
Hungary	100-Holding Account	ISD POWER Energiatermelo és Szolgáltató Kft. 	63	07-09-004531	open	Account holder	ISD POWER Energiatermelo és Szolgáltató Kft.	Vasmû tér	1-3	2400	Dunaújváros	Hungary	63	ISD POWER Eromu	HU-UHG5295-1-04	2005-01-01				1.(c)	Vasmû tér	1-3	2400	Dunaújváros	HU	46.944238645	18.943044903	20-Combustion of fuels	István Zsömbör	Vasmû tér	1-3	2400	Dunaújváros	HU	407325	1221181	407325	1200745	407325	1322924	1176109	1313006	1176109	1172469	1177862	1440509	1177862	1380214	1177862	1320668	14338343533****	793264	14089	1019482	13839	1432151	13590		13340		13090		12841		12592		
Hungary	100-Holding Account	E.ON Energiatermelő Kft. 	64	09-09-2879	open	Account holder	E.ON Energiatermelő Kft.	Szabó Kálmán utca	1.	4030	Debrecen	Hungary	64	Debreceni Gázmotoros Eromu	HU-UHG5311-1-04	2005-01-01					Szabó K. utca	1	4030	Debrecen	HU	47.518037	21.632158	20-Combustion of fuels	Tamás Kussinszky	Szabó K. utca	1	4030	Debrecen	HU	24303	26943	24303	28935	24303	38478	26736	38325	26736	36814	26736	39552	26736	25865	26736	17068	6767	25674	12112	24907	10730	26242	9392		8095		6841		5627		4457		
Hungary	100-Holding Account	ESZAT Kft. 	65	15-09-062619	open	Account holder	ESZAT Kft.	Jármi út	57	4700	Mátészalka	Hungary	65	ESZAT Kft. Almafeldolgozó üzem	HU-UHG5156-1-04	2005-01-01					Jármi út	57	4700	Mátészalka	HU	47.961514881	22.294076886	20-Combustion of fuels	Tibor Illés	Jármi út	57	4700	Mátészalka	HU	2273	1537	2273	1477	2273	1261	1525	1694	1525	581	1525	1726	1525	1097	1525	1669	1148	2009	1028	2675	911	2033	797		686		580		476		377		
Hungary	100-Holding Account	EURO-METAL Öntödei Kft. 	66	01-09-074716	closed	Account holder	EURO-METAL Öntödei Kft.	Elem utca	5-7	1045	Budapest	Hungary	66	Vasöntöde	HU-UHG5146-5-04	2005-01-01				2.(d)	Elem utca	5-7	1045	Budapest	HU	47.553389868	19.105508931	5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting	László Duró	Elem utca	5-7	1045	Budapest	HU	3910	6508	3910	7012	3910	6892						Not Reported																					
Hungary	100-Holding Account	Falco Forgácslapgyártó ZRt. 	67	18-10-100539	open	Account holder	Falco Forgácslapgyártó ZRt.	Zanati út	26	9700	Szombathely	Hungary	67	Falco Rt. Forgácslapgyára	HU-UHG5331-1-04	2005-01-01					Zanati út	26	9700	Szombathely	HU	47.236204514	16.638716999	20-Combustion of fuels	Eszter Komlenecz	Zanati út	26	9700	Szombathely	HU	18903	14851	18903	13996	18903	9356	14737	3044	14737	3928	14737	3740	14737	1870	14737	1653	43429	1816	42675	2992	41912	4340	41141		40361		39574		38777		37978		
Hungary	100-Holding Account	Fehérvári Téglaipari Kft. 	68	07-09-002835	closed	Account holder	Fehérvári Téglaipari Kft.	Kiskút út	5	8000	Székesfehérvár	Hungary	68	Téglagyár Székesfehérvár	HU-UHG5414-8A-04	2005-01-01	2010-07-20				Kiskút út	5	8000	Székesfehérvár	HU	47.21247403	18.419002176	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Sándor Horváth	Kiskút út	5	8000	Székesfehérvár	HU	8577	950	8577	2523	8577	11	0	0	0	0	0		0		0																		
Hungary	100-Holding Account	Fertõszéplaki Téglaipari Kft. 	69	08-09-003830	closed	Account holder	Fertõszéplaki Téglaipari Kft.	Gyártelep	-	9436	Fertõszéplak	Hungary	69	Fertoszéplaki Téglaipari Kft. Agyagtégla Égeto	HU-UHG5324-8A-04	2005-01-01	2013-08-20				Gyártelep	-	9436	Fertõszéplak	HU	47.613654445	16.840721462	8-Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	Imre Ildikó	Gyártelep	-	9436	Fertõszéplak	HU	6664	3896	6664	2634	6664	2993	6139	3128	6139	2460	6139	1561	6139	860	6139	1371	970	362	0		0		0		0		0		0		0		
Hungary	100-Holding Account	Finomhengermû Munkás Kft. F.a. 	70	05-09-001346	closed	Account holder	Finomhengermû Munkás Kft. F.a.	Gyár út	2	3600	Ózd	Hungary	70	Finomhengermu Munkás Kft.	HU-UHG0429-1-04	2005-01-01	2010-07-20				Gyár út	2	3600	Ózd	HU	48.219490168	20.293372167	1-Combustion installations with a rated thermal input exceeding 20 MW	Gyula Kelemen	Gyár út	2	3600	Ózd	HU	4755	2446	4755	19	4755	Not Reported	0	0	0	0	0	Not Reported	0		0																		
Hungary	100-Holding Account	Fovárosi Önkormányzat Szent János Kórház és Rendelointézet 	71	1306/2003 VI.26.	closed	Account holder	Fovárosi Önkormányzat Szent János Kórház és Rendelointézet	Diós árok	1-3	1125	Budapest	Hungary	71	Szent János Kórház	HU-UHG5120-1-04	2005-01-01	2010-03-09				Diós árok	1-3	1125	Budapest	HU	47.509286117	19.005417231	1-Combustion installations with a rated thermal input exceeding 20 MW	Angelika Piszmánné Papp	Diós árok	1-3	1125	Budapest	HU	13003	11328	13003	11034	13003	8123	11241	8450	0	0	0		0		0																		
Hungary	100-Holding Account	Fuzfoi Eromu Kft. 	72	19-09-504687	closed	Account holder	Fuzfoi Eromu Kft.	Nike krt.	1	8184	Balatonfûzfõ	Hungary	72	Fuzfoi Eromu Kft.	HU-UHG5215-1-04	2005-01-01	2010-03-09			1.(c)	Nike krt.	1	8184	Balatonfûzfõ	HU	47.081213384	18.028023	1-Combustion installations with a rated thermal input exceeding 20 MW	László Szabó	Nike krt.	1	8184	Balatonfûzfõ	HU	69822	44164	69822	31433	69822	18870	43824	5248	0	0	0		0		0																		
Hungary	100-Holding Account	GE Hungary Ipari és Kereskedelmi Kft. 	73	01-09-719347	closed	Account holder	GE Hungary Ipari és Kereskedelmi Kft.	Váci út	77	1044	Budapest	Hungary	73	Váci Fényforrásgyár Üvegolvasztó Kemence	HU-UHG5426-7-04	2005-01-01	2012-02-27			3.(e)	Honvéd út	21-23	2600	Vác	HU	47.778825926	19.143062276	7-Installations for the manufacture of glass including glass fibre	Péter Tóth	Honvéd út	21-23	2600	Vác	HU	23020	24373	23020	24249	23020	24849	27656	20950	27656	16046	27656	9672	27656	0	0	Not Reported																	
Hungary	100-Holding Account	GE Hungary Ipari és Kereskedelmi Kft. 	74	01-09-719347	closed	Account holder	GE Hungary Ipari és Kereskedelmi Kft.	Váci út	77	1044	Budapest	Hungary	74	Alkatrészgyár Zalaegerszeg Üvegolvasztó Kemence	HU-UHG5427-7-04	2005-01-01	2015-05-26			3.(e)	Alsóerdei út	3	8900	Zalaegerszeg	HU	46.827376543	16.827047978	31-Manufacture of glass	Tamás Balogh	Alsóerdei út 3.		8900	Zalaegerszeg	HU	2779	2416	2779	2440	2779	2347	2713	2306	2713	2314	2713	2314	2713	1594	2713	1460	2265	1234	2226	1153	1202	1012	0		0		0		0		0		
Hungary	100-Holding Account	GE Hungary Ipari és Kereskedelmi Kft. 	75	01-09-719347	open	Account holder	GE Hungary Ipari és Kereskedelmi Kft.	Váci út	77	1044	Budapest	Hungary	75	GE Hungary Rt. Bud. Fényforrásgy. Üvegolv. kemence	HU-UHG5428-7-04	2005-01-01				3.(e)	Váci út	77	1138	Budapest	HU	47.576604874	19.083202973	7-Installations for the manufacture of glass including glass fibre	Peter Tóth	Váci út	77	1044.	Budapest	HU	10834	8183	10834	9131	10834	8993	10385	8365	10385	6439	10385	5440	10385	5322	10385	4778	8357	3211	4106	5471	8065	5722	7917		7767		7615		7462		7308		
